EBELN,EBELP,BSART,BSTYP,STATU,AEDAT,BEDAT,LIFNR,VENDOR_NAME,EKORG,EKGRP,WAERS,WKURS,MATNR,TXZ01,MATKL,WERKS,LGORT,MENGE,MEINS,NETPR,NETWR,BWART,BUDAT,MBLNR,MJAHR,ZEILE,KOSTL,AUFNR,INCO1,ZTERMS,LOEKZ,SECTION_SOURCE
4500000632,10,ZNB,F,U,13.09.2023,20240102,500033,Shell India Markets Pvt,INPU,FUL,,,HSD-00001,High Speed Diesel BS-VI,FUEL,MUMB,1,442.647,KL,89063.77,39423810.6,101,12/29/2023,5000023509,2025,3,CC-CHN-003,600000045,EXW,Z045,,PRD_DE_SE16N
4500000626,10,UB,U,,20230717,20230817,400091,  Reliance Industries Ltd,CORP,PET,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,IN_MUM,TANK,483.61,KL,87791.25,42456726.41,541,10/13/2023,,,,CC-DEL-002,600000001,DDP,14,,PRD_DE_SE16N
4500000004,30,NB,F,E,20240317,20241117,100042,BPCL Fuel Supply Ltd,ZIND,PET,USD,83.5142,GRSE-0031,Grease MP2,LUBR,AHM1,TK02,315.35,KG,3.59,1132.11,551,11-11-2024,,,,,,DAP,Z045,,PRD_DE_SE16N
4500000906,30,UB,U,B,23.06.2023,04/29/2024,300015,IOC Bulk Fuels,IN00,11,USD,83.8456,LUBE-00112,Hydraulic Oil 46,LUBR,1000,1,31684,L,1.06,33585.04,122,18.10.2023,5000032092,2024,5,1000010,600000045,EXW,,,PRD_DE_SE16N
4500000103,10,ZNB,F,E,20.04.2024,20240412,200078,HPCL Petroleum Corp,1000,11,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,IN02,,190.058,TO,95131.41,18080485.52,122,26.07.2024,5000058446,2023,4,,,,Z030,,PRD_DE_SE16N
4500000284,20,ZFU,F,U,20230307,06.06.2023,600047,Essar Oil,IN00,ZF1,USD,83.6682,LUBE-00112,Hydraulic Oil 46,LUBR,IN01,1,20847,L,1.04,21680.88,102,05.12.2023,5000046105,2024,4,MFUEL01,600000045,EXW,SOFO,,PRD_DE_SE16N
4500001722,10,ZFUE,F,U,08.02.2024,29.09.2024,400091,Reliance Industries,CORP,10,,,HSD-00001,High Speed Diesel BS-VI,FUEL,IN04,TK01,128.907,TO,89085.6,11483757.44,101,20241109,5000059598,2024,3,CC-MUM-001,,,Z045,,PRD_DE_SE16N
4514148725,10,ZFUE,F,U,20230902,21.01.2023,100042,BPCL Fuel Supply Ltd,INPU,PET,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,5000,TK02,474.14,KL,89650.34,42506812.21,101,20241116,5000014168,2025,1,CC-DEL-002,OR-2024-002,FOB,Z030,,PRD_DE_SE16N
4500001355,30,FO,F,,03-06-2024,20241025,800022,Gulf Oil Lubricants India,ZIND,F01,USD,,MS-000023,Motor Spirit Petrol BS-VI,FUEL,3000,,184.283,KL,1124.74,207270.46,551,20230419,,,,1000020,600000045,FOB,Z045,,PRD_DE_SE16N
4500001743,20,NB,F,B,20230922,20230806,700088,Petronet LNG Ltd,ZIND,11,USD,,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,IN02,TK01,55.977,MT,1054.86,59047.9,122,02.09.2024,5000090519,2024,4,,,EXW,Z045,,PRD_DE_SE16N
4500000555,10,ZFUE,F,,20231120,04.05.2023,400091,  Reliance Industries,CORP,10,USD,83.6792,ADV-00200,AdBlue DEF Solution,CHEM,CHN1,FT01,34539,L,1.04,35920.56,122,02-07-2024,5000025443,2024,2,,,CFR,1,,PRD_DE_SE16N
4500000903,10,FO,F,U,20240504,16-09-2023,300015,IOC Bulk Fuels,CORP,F02,INR,,MS-000023,Motor Spirit Petrol,FUEL,IN05,TK01,3797,L,"91,29",346628.13,261,20230308,,,,,,EXW,,,PRD_DE_SE16N
4500000167,10,ZNB,F,E,20230103,20240719,300015,  IOC Bulk Fuels,INPU,F01,INR,1,KER-00004,Kerosene SKO,FUEL,KOL1,FT01,21.157,KL,87881.05,1859299.37,101,20240831,5000071376,2023,2,1000010,600000045,CFR,Z045,,PRD_DE_SE16N
4500001822,20,UB,U,E,20230404,20240910,600047,Essar Oil,CORP,ZF1,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,KOL1,TANK,28802,L,94.51,2722077.02,102,11/21/2024,5000061669,2025,4,1000020,,,NT30,,PRD_DE_SE16N
4500001936,30,UB,U,E,20231119,20230207,300015,IOC Bulk Fuels,1000,FUL,USD,83.5852,LUBE-00113,Gear Oil 90,LUBR,IN04,FUEL,208.05,KG,3.32,690.73,122,29-04-2023,5000081609,2024,4,MFUEL01,OR-2024-001,CFR,SOFO,,PRD_DE_SE16N
4500000191,10,ZFU,F,E,10/25/2024,17-04-2024,100042,BPCL Fuel Supply Ltd,ZIND,PET,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,5000,TANK,59.08,TO,93643.29,5532445.57,101,25-05-2024,5000050277,2023,5,DFUEL02,600000045,,14,,PRD_DE_SE16N
4500000707,30,ZNB,F,,11/26/2023,20240122,300015,IOC Bulk Fuels,INPU,ZF1,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,AHM1,TANK,47.479,TO,"94204,36",4472728.81,122,02.09.2023,5000064923,2023,2,,,,NT30,,PRD_DE_SE16N
4500001419,10,UB,U,B,20240630,12-03-2023,100042,BPCL Fuel Supply Ltd,CORP,FUL,INR,1,MS-000023,Motor Spirit Petrol,FUEL,KOL1,FT01,44383,L,89.88,3989144.04,261,21.11.2023,,,,CC-DEL-002,600000045,CIF,1,,PRD_DE_SE16N
4500001624,10,ZNB,F,U,27.01.2024,22.03.2023,300015,IOC Bulk Fuels,INPU,11,INR,1,ADV-00200,AdBlue DEF Solution,CHEM,1100,,29200,L,87.32,2549744,551,20230904,,,,DFUEL02,600000001,CFR,,,PRD_DE_SE16N
4500000736,30,NB,F,,20241105,20231030,800022,Gulf Oil Lubricants India,IN00,11,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,KOL1,TK01,34321,L,"92,45",3172976.45,101,09.01.2023,5000079569,2024,2,DFUEL02,,DAP,NT30,,PRD_DE_SE16N
4500000851,10,NB,F,E,10.01.2024,07-06-2024,300015,IOC Bulk Fuels,1000,10,INR,1,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,1100,,52.137,MT,94597.52,4932030.9,261,10-07-2023,,,,,,,14,,PRD_DE_SE16N
4500001685,20,ZFU,F,B,20240427,21.04.2023,100042,BPCL Fuel Supply Ltd,ZIND,F02,INR,1,LUBE-00111,Engine Oil 15W40,LUBR,4000,FT01,30543,L,91.48,2794073.64,261,20240728,,,,,,FOB,Z030,,PRD_DE_SE16N
4500001261,20,UB,U,B,20230811,03.02.2023,400091,  Reliance Industries Ltd,INPU,11,INR,1,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,MUMB,TK01,20.772,MT,93485.44,1941879.56,102,08/30/2023,5000016011,2024,1,2000010,OR-2024-001,DAP,Z030,,PRD_DE_SE16N
4500000297,30,FO,F,,23.04.2023,09/14/2023,200078,HPCL Petroleum Corp,IN00,10,INR,,ATF-00005,Aviation Turbine Fuel   ,FUEL,IN05,10,5694.51,GAL,351.54,2001848.05,101,20230127,5000068955,2023,1,1000020,OR-2024-001,EXW,1,,PRD_DE_SE16N
4500001005,20,UB,U,B,26.11.2023,03/17/2023,300015,IOC Bulk Fuels,1000,F01,INR,1,HFO-00009,Heavy Fuel Oil 380 CST   ,FUEL,AHM1,,125.239,MT,92682.92,11607516.22,551,20230309,,,,,,EXW,,,PRD_DE_SE16N
4500000641,20,ZFUE,F,U,20240430,06.06.2023,400091,Reliance Industries Ltd,CORP,11,,,LUBE-00113,Gear Oil 90,LUBR,IN02,,57.32,KG,310.82,17816.2,102,20230329,5000073620,2024,1,,OR-2024-001,CFR,Z045,,PRD_DE_SE16N
4500000571,20,ZFU,F,U,28.09.2024,28-07-2024,200078,  HPCL Petroleum Corp,CORP,PET,INR,,MS-000023,Motor Spirit Petrol,FUEL,AHM1,TANK,30489,L,91.58,2792182.62,541,20.10.2024,,,,2000010,OR-2024-001,CIF,NT30,,PRD_DE_SE16N
4500001591,30,ZFU,F,U,20230609,03/28/2023,400091,Reliance Industries Ltd,CORP,10,INR,1,KER-00004,Kerosene SKO,FUEL,2100,,45.383,KL,89431.13,4058652.97,261,20240924,,,,MFUEL01,,,Z045,X,PRD_DE_SE16N
4500000593,10,ZNB,F,U,20230629,24.05.2024,500033,Shell India,1000,PET,USD,,HSD-00001,High Speed Diesel BS-VI,FUEL,4000,,252.63,KL,1117.77,282382.24,101,29.06.2024,5000010205,2024,5,,OR-2024-001,FOB,,X,PRD_DE_SE16N
4500000821,20,NB,F,E,20230815,14.11.2023,200078,HPCL Petroleum Corp,INPU,F02,,,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,IN03,TANK,127.012,MT,92244.84,11716201.62,101,20230622,5000030968,2023,2,2000010,,FOB,NT45,,PRD_DE_SE16N
4500001624,50,ZNB,F,B,27.12.2023,09.10.2023,400091,Reliance Industries,ZIND,10,USD,84.4547,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,5000,10,8.484,MT,1089.22,9240.94,122,20231114,5000060648,2025,5,CC-DEL-002,,EXW,14,,PRD_DE_SE16N
4517344365,20,ZFUE,F,,20230612,20.06.2024,200078,HPCL Petroleum Corp,CORP,F02,USD,83.1693,HSD-00001,High Speed Diesel BS-VI,FUEL,AHM1,10,388.36,KL,"1099,27",426912.5,102,20231017,5000037243,2024,5,2000010,OR-2024-002,DDP,Z045,,PRD_DE_SE16N
4500000868,10,ZNB,F,E,20230808,20240107,200078,HPCL Petroleum Corp,INPU,11,USD,83.5154,HSD-00001,High Speed Diesel,FUEL,4000,FUEL,49999,L,1.04,51998.96,102,20240512,5000081006,2023,5,,,DAP,SOFO,X,PRD_DE_SE16N
4500001657,10,ZNB,F,B,07-08-2024,12.01.2024,600047,Essar Oil Ltd,CORP,ZF1,INR,,LDO-00008,Light Diesel Oil,FUEL,CHN1,TK02,390.171,KL,90029.07,35126732.27,101,04/17/2024,5000006839,2025,4,1000010,,FOB,Z045,,PRD_DE_SE16N
4500001812,10,NB,F,E,20240529,20240229,300015,IOC Bulk Fuels,ZIND,FUL,,,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,2000,TANK,75.608,MT,88225.5,6670553.6,101,31-01-2024,5000005020,2024,4,,,CIF,NT30,X,PRD_DE_SE16N
4500000098,30,ZFU,F,B,04/24/2023,20240929,800022,Gulf Oil Lubricants India,ZIND,11,INR,,MS-000023,Motor Spirit Petrol,FUEL,2100,TK01,920,L,90.15,82938,101,26.05.2024,5000074798,2024,2,MFUEL01,OR-2024-001,CIF,,,PRD_DE_SE16N
4500001502,10,ZFU,F,E,20231207,18.08.2024,600047,  Essar Oil Ltd,INPU,ZF1,INR,1,GRSE-0031,Grease MP2,LUBR,1100,TANK,"408,62",KG,226.26,92454.36,102,27.12.2023,5000008270,2025,4,,,CIF,14,,PRD_DE_SE16N
4500000098,20,ZFU,F,E,20240112,20231007,400091,Reliance Industries Ltd,INPU,F01,INR,1,HFO-00009,Heavy Fuel Oil,FUEL,AHM1,10,"1,79,033",TO,91093.16,16308681.71,541,14.02.2024,,,,1000020,OR-2024-001,FOB,14,,PRD_DE_SE16N
4500001867,20,UB,U,B,20230228,09.10.2023,400091,Reliance Industries,IN00,ZZ1,USD,,KER-00004,Kerosene SKO,FUEL,3000,FT01,258.978,KL,1107.77,286888.06,101,20241014,5000030932,2025,3,,,DDP,14,,PRD_DE_SE16N
4513121368,20,ZFU,F,U,20240729,20240614,500033,Shell India,ZIND,10,,,MS-000023,Motor Spirit Petrol,FUEL,IN01,FT01,10807,L,91.12,984733.84,261,24.09.2023,,,,DFUEL02,600000045,DDP,14,,PRD_DE_SE16N
4500000412,10,ZFU,F,B,21.07.2024,20240520,500033,Shell India Markets Pvt,INPU,FUL,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,IN05,10,27627,L,91.12,2517372.24,101,04/23/2024,5000075353,2023,2,,,DDP,NT45,,PRD_DE_SE16N
4500000332,30,NB,F,,06/15/2024,20230819,600047,Essar Oil Ltd,IN00,11,INR,1,ATF-00005,Aviation Turbine Fuel,FUEL,IN05,TANK,319.353,KL,90508.41,28904132.26,101,20230322,5000077569,2025,2,,OR-2024-002,CIF,NT30,X,PRD_DE_SE16N
4500000619,30,UB,U,E,16.03.2023,20240220,600047,Essar Oil Ltd,ZIND,11,INR,1,ATF-00005,Aviation Turbine Fuel,FUEL,DEL1,FUEL,7521.64,GAL,328.16,2468301.38,261,20230611,,,,,,FOB,14,,PRD_DE_SE16N
4500001770,10,NB,F,B,14.08.2024,06/13/2023,300015,  IOC Bulk Fuels,IN00,FUL,INR,1,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,IN_MUM,TK01,100.155,MT,92117.8,9226058.26,261,07/14/2023,,,,DFUEL02,OR-2024-002,,Z045,,PRD_DE_SE16N
4500001168,20,ZFU,F,U,31.01.2024,20240720,400091,Reliance Industries Ltd,INPU,10,,,MS-000023,Motor Spirit Petrol   ,FUEL,IN_MUM,FUEL,49456,L,91.8,4540060.8,101,20240717,5000073116,2024,2,CC-DEL-002,,DAP,14,,PRD_DE_SE16N
4500001263,20,FO,F,E,05.06.2024,20240830,400091,Reliance Industries,ZIND,FUL,USD,83.6674,MS-000023,Motor Spirit Petrol,FUEL,AHM1,TK02,40806,L,1.06,43254.36,541,20240730,,,,,OR-2024-001,DAP,,,PRD_DE_SE16N
4500001415,30,ZFU,F,E,05.03.2023,18-09-2024,100042,BPCL Fuel Supply Ltd,IN00,F01,INR,1,MS-000023,Motor Spirit Petrol BS-VI,FUEL,IN02,TK02,165.9,KL,91622.27,15200134.59,551,20240615,,,,2000010,600000001,CFR,Z030,,PRD_DE_SE16N
4500001914,20,UB,U,,23.11.2024,20231022,700088,Petronet LNG Ltd,IN00,ZZ1,USD,83.9283,LUBE-00112,Hydraulic Oil 46,LUBR,3000,,47735,L,1.11,52985.85,541,02-09-2024,,,,2000010,,DAP,NT30,,PRD_DE_SE16N
4500001470,30,NB,F,B,17-07-2024,20230521,200078,HPCL Petroleum Corp,ZIND,PET,INR,,HSD-00001,High Speed Diesel BS-VI,FUEL,IN02,1,467.841,KL,93784,43876000.34,102,20230611,5000011725,2025,5,1000020,,DAP,1,,PRD_DE_SE16N
4500000220,20,NB,F,B,18.10.2024,20231019,700088,Petronet LNG Ltd,IN00,ZF1,INR,1,HFO-00009,Heavy Fuel Oil,FUEL,4000,TK02,27.706,TO,92033.7,2549885.69,261,05/20/2024,,,,2000010,600000001,EXW,NT45,,PRD_DE_SE16N
4500000288,10,UB,U,,20230830,20230107,800022,Gulf Oil Lubricants India,ZIND,10,INR,1,KER-00004,Kerosene SKO,FUEL,4000,FT01,154.463,KL,"92228,83",14245941.77,102,01-10-2023,5000061000,2024,2,,600000045,CFR,14,,PRD_EN_SE16N
4500001643,10,UB,U,U,09-02-2024,11.09.2023,200078,HPCL Petroleum Corp,IN00,ZZ1,USD,,HFO-00009,Heavy Fuel Oil,FUEL,IN02,,106.106,TO,1088.55,115501.69,122,25.03.2023,5000019641,2023,3,,,,NT30,,PRD_EN_SE16N
4500001378,30,UB,U,U,04.01.2023,20230123,700088,Petronet LNG Ltd,CORP,FUL,,,HSD-00001,High Speed Diesel BS-VI,FUEL,KOL1,TK02,214.73,KL,92003.85,19755986.71,101,20240815,5000053591,2023,2,DFUEL02,OR-2024-001,,,,PRD_EN_SE16N
4500000457,10,FO,F,B,20240711,20231102,200078,HPCL Petroleum Corp,1000,FUL,,,ADV-00200,AdBlue DEF Solution,CHEM,IN05,10,12451,L,88.46,1101415.46,101,01/24/2024,5000080599,2023,2,,OR-2024-002,CIF,Z030,,PRD_EN_SE16N
4500001877,20,ZNB,F,,11/19/2024,14.08.2024,400091,Reliance Industries,ZIND,PET,INR,1,LDO-00008,Light Diesel Oil,FUEL,4000,,75.914,KL,91602.12,6953883.34,261,20230831,,,,CC-CHN-003,600000045,DDP,,,PRD_EN_SE16N
4500000296,10,ZNB,F,U,02.03.2024,20240729,400091,Reliance Industries Ltd,ZIND,ZZ1,INR,1,ATF-00005,Aviation Turbine Fuel,FUEL,3000,TK01,"1,31,223",KL,"88302,63",11587336.02,261,20230518,,,,2000010,OR-2024-002,FOB,Z030,,PRD_EN_SE16N
4500001971,30,NB,F,,10.09.2024,05-05-2024,200078,HPCL Petroleum Corp,IN00,10,USD,83.2185,HFO-00009,Heavy Fuel Oil,FUEL,IN05,,110.864,TO,1128.19,125075.66,101,11-02-2024,5000061080,2023,4,1000020,,,1,,PRD_EN_SE16N
4500000472,10,ZFU,F,B,20231212,26.05.2024,600047,Essar Oil,1000,ZF1,,,MS-000023,Motor Spirit Petrol,FUEL,IN02,,32121,L,89.91,2887999.11,101,15-05-2024,5000064004,2023,5,2000010,600000001,FOB,1,,PRD_EN_SE16N
4500001266,30,ZNB,F,E,20230117,09.05.2024,200078,HPCL Petroleum Corp,1000,FUL,INR,,LDO-00008,Light Diesel Oil,FUEL,IN04,TANK,13.279,KL,92221.93,1224615.01,122,20240718,5000014026,2023,5,,,DDP,Z045,,PRD_EN_SE16N
4500001758,10,ZFU,F,B,22.01.2024,20230406,300015,IOC Bulk Fuels,CORP,PET,INR,1,GRSE-0031,Grease MP2,LUBR,IN01,TK01,354.39,KG,212.4,75272.44,102,27.02.2023,5000027710,2025,5,CC-DEL-002,OR-2024-001,CFR,1,,PRD_EN_SE16N
4500000493,20,NB,F,,20231206,11/24/2024,100042,BPCL Fuel Supply Ltd,ZIND,FUL,,,ATF-00005,Aviation Turbine Fuel,FUEL,IN03,TK01,10495,GAL,323.14,3391354.3,261,05/24/2023,,,,2000010,OR-2024-001,,14,X,PRD_EN_SE16N
4500001393,20,FO,F,,10/30/2023,03/29/2023,700088,Petronet LNG Ltd,CORP,PET,USD,83.1334,HFO-00009,Heavy Fuel Oil 380 CST   ,FUEL,DEL1,TK02,31.69,MT,1122.08,35558.72,551,20230317,,,,CC-DEL-002,OR-2024-002,,SOFO,,PRD_EN_SE16N
4500001607,20,FO,F,U,02-02-2024,20230113,400091,Reliance Industries Ltd,1000,F02,USD,82.7777,MS-000023,Motor Spirit Petrol BS-VI,FUEL,AHM1,FT01,489.196,KL,1086.46,531491.89,102,26-07-2024,5000021916,2024,3,1000020,,EXW,SOFO,,PRD_EN_SE16N
4500000779,20,UB,U,E,28-10-2024,20240326,400091,Reliance Industries,IN00,ZF1,INR,,MS-000023,Motor Spirit Petrol BS-VI,FUEL,2100,,303.59,KL,91952.92,27915986.98,541,20230520,,,,MFUEL01,,,14,,PRD_EN_SE16N
4500000597,10,ZFUE,F,,23.05.2023,23.02.2024,500033,Shell India,ZIND,F01,INR,1,ATF-00005,Aviation Turbine Fuel,FUEL,2100,,81.301,KL,89231.28,7254592.3,101,20230905,5000066402,2025,4,,,FOB,NT30,,PRD_EN_SE16N
4500000297,40,UB,U,,25.07.2024,06.06.2024,200078,HPCL Petroleum Corp,ZIND,11,USD,82.8015,HSD-00001,High Speed Diesel BS-VI,FUEL,CHN1,10,190.189,KL,1073.42,204152.68,102,20240812,5000011253,2023,2,CC-MUM-001,,,14,,PRD_EN_SE16N
4500001812,20,NB,F,E,07.09.2023,11/24/2024,600047,Essar Oil,INPU,F02,USD,82.8689,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,KOL1,TK01,112.41,MT,1145.72,128790.39,102,20240719,5000058926,2025,4,,,FOB,NT30,,PRD_EN_SE16N
4500001003,30,NB,F,E,20240917,17.11.2023,200078,HPCL Petroleum Corp,INPU,PET,INR,1,ADV-00200,AdBlue DEF Solution,CHEM,IN05,TANK,42291,L,91.17,3855670.47,261,20230427,,,,1000020,,DAP,,,PRD_EN_SE16N
4500001003,10,ZFUE,F,B,20240926,11/19/2023,500033,Shell India,CORP,FUL,INR,1,GRSE-0031,Grease MP2,LUBR,MUMB,,247.46,KG,229.27,56735.15,101,03-01-2024,5000054477,2025,4,,,EXW,Z045,X,PRD_EN_SE16N
4500000549,20,FO,F,E,02-12-2023,07-09-2024,500033,Shell India Markets Pvt,IN00,ZZ1,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,IN02,FUEL,49490,L,86.02,4257129.8,102,27.03.2024,5000011401,2024,1,1000020,OR-2024-001,DDP,,,PRD_EN_SE16N
4500000345,30,FO,F,,01-10-2023,20231027,700088,Petronet LNG Ltd,IN00,F01,USD,84.3375,ATF-00005,Aviation Turbine Fuel,FUEL,MUMB,TANK,10349.84,GAL,3.88,40157.38,261,10-06-2024,,,,1000020,600000001,,SOFO,,PRD_EN_SE16N
4500001536,20,ZFUE,F,,02.12.2023,10-04-2024,600047,Essar Oil Ltd,CORP,ZZ1,INR,,KER-00004,Kerosene SKO,FUEL,DEL1,10,231.932,KL,91641.44,21254582.46,102,06.04.2023,5000027767,2024,3,,,,14,,PRD_EN_SE16N
4500001963,30,ZNB,F,B,20231106,05/16/2023,100042,BPCL Fuel Supply Ltd,CORP,F01,INR,1,MS-000023,Motor Spirit Petrol BS-VI   ,FUEL,1100,TK01,183.416,KL,85824.21,15741533.3,122,20231008,5000056260,2025,1,CC-MUM-001,,EXW,SOFO,X,PRD_EN_SE16N
4500001497,10,NB,F,U,20231103,20231117,800022,Gulf Oil Lubricants India,CORP,FUL,INR,1,MS-000023,Motor Spirit Petrol BS-VI   ,FUEL,IN03,TK01,340.183,KL,85684.12,29148280.99,101,17.05.2023,5000082323,2025,2,CC-CHN-003,,FOB,NT45,,PRD_EN_SE16N
4500001231,30,ZFU,F,B,01/28/2023,10/19/2023,300015,IOC Bulk Fuels,INPU,FUL,INR,1,KER-00004,Kerosene SKO,FUEL,4000,TK01,106.696,KL,91069.27,9716726.83,102,11-05-2024,5000064865,2024,1,,OR-2024-001,DDP,14,,PRD_EN_SE16N
4500001419,10,FO,F,E,12.02.2024,03-03-2023,300015,IOC Bulk Fuels,CORP,F02,INR,1,ATF-00005,Aviation Turbine Fuel,FUEL,IN04,FT01,384.719,KL,89235.75,34330688.5,102,05.10.2024,5000040620,2023,5,,,FOB,Z045,,PRD_EN_SE16N
4500001519,10,UB,U,U,21.05.2023,20230503,100042,BPCL Fuel Supply Ltd,1000,11,INR,,LDO-00008,Light Diesel Oil   ,FUEL,IN02,TK02,176.619,KL,90172.23,15926129.09,101,20230617,5000096067,2023,1,2000010,600000001,FOB,SOFO,,PRD_EN_SE16N
4500001832,30,ZNB,F,,20240605,20230429,100042,BPCL Fuel Supply Ltd,ZIND,FUL,USD,84.215,HFO-00009,Heavy Fuel Oil   ,FUEL,CHN1,TK01,94.881,TO,1090.58,103475.32,261,20230113,,,,,,DDP,NT30,,PRD_EN_SE16N
4500001585,20,NB,F,,20230109,30.03.2023,200078,HPCL Petroleum Corp,ZIND,F01,,,LDO-00008,Light Diesel Oil,FUEL,1100,TANK,155.435,KL,91227.18,14179896.72,122,26.10.2023,5000000835,2024,1,1000010,OR-2024-002,CIF,14,X,PRD_EN_SE16N
4500001992,30,UB,U,E,08/26/2023,20231014,800022,Gulf Oil Lubricants India,1000,PET,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,4000,10,"44789,0",L,89.58,4012198.62,122,20240616,5000009808,2025,5,,600000001,DDP,,,PRD_EN_SE16N
4511772642,10,ZNB,F,E,20240221,20240405,300015,IOC Bulk Fuels,INPU,PET,INR,,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,IN03,1,42.32,MT,90466.46,3828540.59,101,02-01-2024,5000028183,2024,2,CC-CHN-003,,CIF,Z045,,PRD_EN_SE16N
4511034637,10,UB,U,B,20240215,20230514,100042,BPCL Fuel Supply Ltd,CORP,PET,INR,,GRSE-0031,Grease MP2,LUBR,2000,FT01,51.18,KG,287.92,14735.75,102,07-10-2024,5000043456,2023,1,DFUEL02,OR-2024-002,,SOFO,X,PRD_EN_SE16N
4500000071,30,ZFU,F,U,20240525,09.09.2023,200078,HPCL Petroleum Corp,IN00,FUL,USD,84.0944,ADV-00200,AdBlue DEF Solution,CHEM,IN04,10,4477,L,1.06,4745.62,122,20240717,5000093502,2024,4,1000010,,DDP,,,PRD_EN_SE16N
